date_time,water_level,sigma,o,f,r,l,quality 
2017-06-27 22:06,602.992,0.003,0,0,0,0,v
2017-06-27 22:12,603.022,0.003,0,0,0,0,v
2017-06-27 22:18,602.995,0.003,0,0,0,0,v
2017-06-27 22:24,602.986,0.000,0,0,0,0,v
2017-06-27 22:30,603.035,0.007,0,0,0,0,v
2017-06-27 22:36,603.058,0.003,0,0,0,0,v
2017-06-27 22:42,603.045,0.003,0,0,0,0,v
2017-06-27 22:48,603.025,0.007,0,0,0,0,v
2017-06-27 22:54,603.012,0.000,0,0,0,0,v
2017-06-27 23:00,603.022,0.000,0,0,0,0,v
2017-06-27 23:06,603.031,0.000,0,0,0,0,v
2017-06-27 23:12,603.048,0.003,0,0,0,0,v
2017-06-27 23:18,603.031,0.007,0,0,0,0,v
2017-06-27 23:24,603.005,0.003,0,0,0,0,v
2017-06-27 23:30,602.995,0.000,0,0,0,0,v
2017-06-27 23:36,602.969,0.007,0,0,0,0,v
